Below are data for ortho-tolunitrile in purely electrostatic and CN-HB-conditions with water and MeOH.
Electric fields and HB geometry are reported together with vibrational frequencies and TDMs of the CN.
See 10.26434/chemrxiv-2024-rjm5p for further details

EF_x	EF_y	EF_z	env	HB_angle	HB_distance	v
-20.3796	-12.4885	-33.0297	elec	0.00	999.00	2222.72
-10.2748	-8.4081	-17.8275	elec	0.00	999.00	2228.15
-14.0978	-10.5445	-23.8419	elec	0.00	999.00	2225.95
-20.7381	-13.2308	-33.8011	elec	0.00	999.00	2222.09
-14.2598	-10.7660	-24.2040	elec	0.00	999.00	2225.69
-19.8098	-13.2272	-32.5923	elec	0.00	999.00	2222.42
-5.6458	0.0071	-3.8486	elec	0.00	999.00	2232.43
-7.4448	0.0096	-5.0606	elec	0.00	999.00	2231.90
-10.2815	0.0128	-6.9670	elec	0.00	999.00	2231.05
-15.1669	0.0161	-10.2549	elec	0.00	999.00	2229.56
-11.3637	0.0133	-7.7708	elec	0.00	999.00	2230.55
-15.0205	0.0158	-10.2648	elec	0.00	999.00	2229.36
-20.8355	0.0174	-14.2514	elec	0.00	999.00	2227.37
-31.0133	0.0164	-21.3518	elec	0.00	999.00	2223.53
-17.1460	0.0167	-11.7683	elec	0.00	999.00	2228.51
-22.7192	0.0179	-15.6163	elec	0.00	999.00	2226.51
-31.6512	0.0169	-21.8622	elec	0.00	999.00	2223.04
-22.9926	0.0182	-15.8418	elec	0.00	999.00	2226.29
-30.5392	0.0177	-21.1162	elec	0.00	999.00	2223.33
-42.7155	0.0143	-29.7986	elec	0.00	999.00	2217.99
-4.9621	-2.4168	-3.5829	elec	0.00	999.00	2232.51
-6.6198	-3.1279	-4.7698	elec	0.00	999.00	2231.97
-9.3125	-4.1689	-6.6796	elec	0.00	999.00	2231.09
-14.1882	-5.7057	-10.1009	elec	0.00	999.00	2229.42
-10.1758	-4.6265	-7.3290	elec	0.00	999.00	2230.69
-13.7096	-5.8649	-9.8534	elec	0.00	999.00	2229.45
-19.6011	-7.5189	-14.0440	elec	0.00	999.00	2227.25
-30.8089	-9.4988	-22.0117	elec	0.00	999.00	2222.90
-15.6313	-6.6105	-11.2439	elec	0.00	999.00	2228.67
-21.3062	-8.1848	-15.2690	elec	0.00	999.00	2226.50
-30.8677	-9.9923	-22.1268	elec	0.00	999.00	2222.70
-21.3784	-8.3675	-15.3346	elec	0.00	999.00	2226.39
-29.2786	-10.1181	-21.0042	elec	0.00	999.00	2223.17
-42.8429	-11.7898	-30.8981	elec	0.00	999.00	2216.96
-38.0888	0.0871	-48.2337	H2O	160.00	3.00	2243.19
-42.1027	0.0653	-44.5908	H2O	150.00	2.99	2242.29
-45.7707	-0.1883	-40.2364	H2O	140.00	2.98	2240.93
-49.1416	-0.1289	-35.2331	H2O	130.00	2.97	2239.16
-51.7573	-0.3265	-30.1381	H2O	120.00	2.97	2237.10
-50.5341	9.5575	-27.2180	H2O	110.00	2.97	2234.36
-43.9745	17.7944	-25.3644	H2O	100.00	3.02	2229.55
-36.0888	24.7847	-24.2255	H2O	90.00	3.06	2226.33
-27.2574	27.0014	-22.4049	H2O	80.00	3.15	2223.86
-18.3550	25.1930	-20.8129	H2O	70.00	3.27	2222.72
-30.1570	3.7788	-52.6461	H2O	170.00	3.01	2243.13
-30.0256	9.0493	-52.0395	H2O	160.00	3.01	2242.36
-29.3562	14.1674	-50.7454	H2O	150.00	3.00	2240.97
-28.1879	19.0326	-48.7113	H2O	140.00	3.00	2238.99
-26.5501	23.4721	-45.9732	H2O	130.00	3.00	2236.57
-24.4850	27.2855	-42.6380	H2O	120.00	3.00	2233.89
-22.1193	30.2529	-38.8759	H2O	110.00	3.02	2231.28
-19.5297	32.0574	-35.0754	H2O	100.00	3.04	2229.06
-16.8216	32.4106	-31.4746	H2O	90.00	3.08	2227.38
-14.0037	30.6894	-28.1162	H2O	80.00	3.14	2226.14
-11.0642	26.1863	-24.9927	H2O	70.00	3.23	2225.45
-26.7619	5.5058	-53.0171	H2O	170.00	3.02	2242.73
-24.3648	6.1695	-54.8610	H2O	160.00	3.01	2242.33
-20.7718	9.9758	-55.2589	H2O	150.00	3.00	2241.04
-16.7700	13.5629	-54.8500	H2O	140.00	3.00	2239.18
-12.5344	16.8340	-53.6169	H2O	130.00	3.00	2236.90
-8.3029	19.5887	-51.6248	H2O	120.00	3.01	2234.50
-4.3887	21.6181	-49.0095	H2O	110.00	3.02	2232.29
-1.2236	22.6807	-46.0151	H2O	100.00	3.04	2230.51
1.1818	22.3204	-43.3377	H2O	90.00	3.05	2228.29
0.9597	21.4926	-38.6898	H2O	80.00	3.14	2224.42
-0.8633	19.9126	-31.9055	H2O	70.00	3.28	2221.96
-26.2651	1.4500	-54.0150	H2O	170.00	3.02	2242.96
-22.6520	-0.0324	-56.0602	H2O	160.00	3.01	2242.83
-12.3457	0.0050	-57.7640	H2O	140.00	3.00	2240.02
-6.9185	0.0068	-57.3663	H2O	130.00	3.00	2238.03
-1.4876	-0.0031	-56.2140	H2O	120.00	3.00	2235.92
3.5343	-0.0056	-54.4010	H2O	110.00	3.00	2234.28
8.0555	0.2042	-51.8708	H2O	100.00	3.01	2233.14
10.7472	0.3411	-48.7230	H2O	90.00	3.05	2230.73
4.1271	0.4002	-37.9190	H2O	70.00	3.36	2215.47
-35.3367	0.1605	-77.9206	H2O	160.00	2.50	2252.75
-40.2944	0.0811	-73.6893	H2O	150.00	2.50	2252.52
-45.4699	0.0983	-68.5604	H2O	140.00	2.50	2251.53
-50.6774	0.2961	-62.4577	H2O	130.00	2.50	2249.83
-54.8135	4.9287	-56.3994	H2O	120.00	2.50	2247.55
-52.9958	9.3981	-53.8848	H2O	110.00	2.50	2243.42
-47.8204	15.0857	-51.6496	H2O	100.00	2.50	2238.75
-39.1937	16.8572	-49.2095	H2O	90.00	2.50	2235.55
-28.6198	12.1127	-46.9761	H2O	80.00	2.50	2234.74
-20.4112	-0.1634	-45.5352	H2O	70.00	2.50	2234.60
-38.9604	-16.3363	-76.1605	H2O	170.00	2.50	2252.60
-40.6167	-11.4887	-74.4562	H2O	160.00	2.50	2253.37
-40.9852	-5.8155	-73.0428	H2O	150.00	2.50	2253.13
-40.4131	-0.0957	-71.1730	H2O	140.00	2.50	2251.91
-39.2423	5.3050	-68.4908	H2O	130.00	2.50	2249.86
-37.2695	9.7269	-64.8150	H2O	120.00	2.50	2247.30
-34.7050	12.6292	-60.1537	H2O	110.00	2.50	2244.56
-31.3910	13.3556	-54.9521	H2O	100.00	2.50	2241.89
-27.8464	11.1234	-49.5987	H2O	90.00	2.50	2239.83
-22.5107	-4.0372	-42.9111	H2O	70.00	2.50	2237.57
-48.0015	-15.9901	-70.7020	H2O	170.00	2.50	2252.73
-47.5891	-9.6394	-69.9616	H2O	160.00	2.50	2253.39
-44.3190	-4.7969	-70.3296	H2O	150.00	2.50	2253.02
-40.1696	-0.4152	-70.2603	H2O	140.00	2.50	2251.82
-35.5470	3.6205	-69.3080	H2O	130.00	2.50	2249.96
-30.6608	6.8397	-67.0448	H2O	120.00	2.50	2247.75
-25.5089	8.8122	-63.8753	H2O	110.00	2.50	2245.41
-20.6742	9.3613	-59.7492	H2O	100.00	2.50	2242.84
-16.7770	8.8233	-56.2280	H2O	90.00	2.50	2238.72
-21.4724	5.2945	-47.7759	H2O	80.00	2.50	2237.47
-55.8225	-0.2115	-66.5914	H2O	170.00	2.50	2253.04
-51.0153	0.2844	-67.9061	H2O	160.00	2.50	2253.36
-45.5094	0.1232	-69.2512	H2O	150.00	2.50	2252.96
-39.4314	-0.1180	-70.1830	H2O	140.00	2.50	2251.87
-32.9322	-0.1041	-70.3332	H2O	130.00	2.50	2250.31
-26.0749	0.0900	-69.4543	H2O	120.00	2.50	2248.44
-18.9492	0.1250	-67.7713	H2O	110.00	2.50	2246.53
-11.2855	0.0345	-66.1610	H2O	100.00	2.50	2243.99
-10.8871	-0.0165	-63.0991	H2O	90.00	2.50	2239.80
-41.4363	-0.0142	-68.3005	H2O	170.00	2.75	2248.29
-45.9959	0.0545	-64.4951	H2O	160.00	2.75	2247.85
-50.2786	0.0602	-59.7576	H2O	150.00	2.75	2246.70
-54.2036	-0.1287	-54.1898	H2O	140.00	2.75	2244.94
